date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2004-08-19 00:00:00,100.335,104.06,95.96,100.01,44659000,2.4954091542,2.5880527891,2.386599516,2.4873261525,1780845677,0.0,1.0
2004-08-20 00:00:00,108.31,109.08,100.5,101.01,22834300,2.6937535805,2.7129040768,2.499512832,2.512196927,910552508,0.0,1.0
2004-08-23 00:00:00,109.4,113.48,109.05,110.76,18256100,2.7208627246,2.8223354844,2.7121579536,2.7546869779,727989806,0.0,1.0
2004-08-24 00:00:00,104.87,111.6,103.57,111.24,15247300,2.6081981164,2.7755784284,2.5758661096,2.7666249496,608009321,0.0,1.0
2004-08-25 00:00:00,106.0,108.0,103.88,104.76,9188600,2.6363020915,2.6860436404,2.5835760497,2.6054623312,366409426,0.0,1.0
2004-08-26 00:00:00,107.91,107.95,104.66,104.95,7094800,2.6838052707,2.6848001017,2.6029752537,2.6101877783,282915961,0.0,1.0
2004-08-27 00:00:00,106.15,108.62,105.69,108.1,6211700,2.6400327077,2.7014635205,2.6285921514,2.6885307178,247701003,0.0,1.0
2004-08-30 00:00:00,102.01,105.49,102.01,105.28,5196700,2.5370677014,2.6236179965,2.5370677014,2.6183951339,207226331,0.0,1.0
2004-08-31 00:00:00,102.37,103.71,102.16,102.32,4917800,2.5460211802,2.579348018,2.5407983176,2.5447776415,196104768,0.0,1.0
2004-09-01 00:00:00,100.25,102.97,99.67,102.7,9138200,2.4932951384,2.5609436449,2.4788700892,2.5542285358,364399650,0.0,1.0
2004-09-02 00:00:00,101.51,102.37,98.94,99.09,15118600,2.5246323142,2.5460211802,2.4607144239,2.4644450401,602877213,0.0,1.0
2004-09-03 00:00:00,100.01,101.74,99.32,100.95,5152400,2.4873261525,2.5303525923,2.4701653182,2.5107046805,205459801,0.0,1.0
2004-09-07 00:00:00,101.58,102.0,99.61,101.01,5847500,2.5263732684,2.5368189937,2.4773778428,2.512196927,233177973,0.0,1.0
2004-09-08 00:00:00,102.3,103.03,100.5,100.74,4985600,2.544280226,2.5624358914,2.499512832,2.5054818179,198808397,0.0,1.0
2004-09-09 00:00:00,102.31,102.71,101.0,102.5,4061700,2.5445289338,2.5544772436,2.5119482192,2.5492543809,161966476,0.0,1.0
2004-09-10 00:00:00,105.33,106.56,101.3,101.47,8698800,2.6196386726,2.6502297252,2.5194094516,2.5236374832,346877905,0.0,1.0
2004-09-13 00:00:00,107.5,108.41,106.46,106.63,7844100,2.6736082532,2.6962406579,2.6477426477,2.6519706794,312795440,0.0,1.0
2004-09-14 00:00:00,111.49,112.0,106.79,107.44,10828900,2.7728426432,2.7855267382,2.6559500033,2.6721160067,431818888,0.0,1.0
2004-09-15 00:00:00,112.0,114.23,110.2,110.56,10713000,2.7855267382,2.8409885652,2.7407593442,2.749712823,427197199,0.0,1.0
2004-09-16 00:00:00,113.97,115.8,111.65,112.34,9266300,2.8345221638,2.8800356811,2.7768219671,2.7939828015,369507832,0.0,1.0
2004-09-17 00:00:00,117.49,117.49,113.55,114.42,9472500,2.9220672899,2.9220672899,2.8240764386,2.8457140123,377730371,0.0,1.0
2004-09-20 00:00:00,119.36,121.6,116.77,116.95,10628700,2.9685756381,3.0242861729,2.9041603323,2.9086370717,423835608,0.0,1.0
2004-09-21 00:00:00,117.84,120.42,117.51,120.2,7228700,2.930772061,2.994938659,2.9225647054,2.9894670886,288255427,0.0,1.0
2004-09-22 00:00:00,118.38,119.67,116.81,117.45,7581200,2.9442022792,2.9762855782,2.9051551633,2.9210724589,302311902,0.0,1.0
2004-09-23 00:00:00,120.82,122.63,117.02,118.84,8535600,3.0048869688,3.0499030706,2.9103780259,2.9556428354,340370056,0.0,1.0
2004-09-24 00:00:00,119.83,124.1,119.76,120.97,9123400,2.9802649021,3.086463109,2.9785239479,3.008617585,363809477,0.0,1.0
2004-09-27 00:00:00,118.26,120.88,117.8,119.56,7066100,2.9412177862,3.0063792153,2.92977723,2.973549793,281771505,0.0,1.0
2004-09-28 00:00:00,126.86,127.4,120.21,121.15,16929000,3.1551064465,3.1685366647,2.9897157964,3.0130943244,675069671,0.0,1.0
2004-09-29 00:00:00,131.08,135.02,126.23,126.53,30516400,3.2600611146,3.358051966,3.1394378586,3.1468990909,1216887951,0.0,1.0
2004-09-30 00:00:00,129.6,132.3,129.0,129.899,13758000,3.2232523685,3.2904034595,3.2083299038,3.23068873,548621214,0.0,1.0
2004-10-01 00:00:00,132.58,134.24,128.9,130.8,15124800,3.2973672763,3.3386527619,3.2058428263,3.2530972978,603124447,0.0,1.0
2004-10-04 00:00:00,135.06,136.87,134.03,135.275,13022700,3.3590467969,3.4040628987,3.3334298993,3.3643940135,519300006,0.0,1.0
2004-10-05 00:00:00,138.37,138.53,132.24,134.66,14973200,3.4413690604,3.4453483843,3.288911213,3.3490984872,597079166,0.0,1.0
2004-10-06 00:00:00,137.08,138.45,136.0,137.67,13381400,3.4092857613,3.4433587223,3.3824253249,3.4239595183,533603716,0.0,1.0
2004-10-07 00:00:00,138.85,139.88,136.55,136.56,14115000,3.4533070321,3.4789239298,3.3961042509,3.3963529586,562857133,0.0,1.0
2004-10-08 00:00:00,137.73,139.68,137.02,138.73,11069500,3.4254517647,3.4739497749,3.4077935149,3.4503225392,441413180,0.0,1.0
2004-10-11 00:00:00,135.26,138.86,133.85,137.01,10472100,3.3640209518,3.4535557398,3.3289531599,3.4075448071,417590945,0.0,1.0
2004-10-12 00:00:00,137.4,137.61,133.4,134.49,11665500,3.4172444092,3.4224672718,3.3177613114,3.3448704555,465179588,0.0,1.0
2004-10-13 00:00:00,140.9,143.55,140.08,143.24,19766200,3.5042921197,3.570199672,3.4838980847,3.5624897319,788207345,0.0,1.0
2004-10-14 00:00:00,142.0,142.38,138.56,141.02,10442100,3.5316499716,3.5411008659,3.4460945075,3.5072766127,416394649,0.0,1.0
2004-10-15 00:00:00,144.11,145.5,141.95,144.95,13194700,3.5841273057,3.6186976822,3.5304064329,3.6050187562,526158769,0.0,1.0
2004-10-18 00:00:00,149.16,149.2,141.21,143.12,14036300,3.7097247167,3.7107195476,3.5120020598,3.559505239,559718851,0.0,1.0
2004-10-19 00:00:00,147.94,152.4,147.35,150.5,18109800,3.6793823718,3.7903060259,3.6647086149,3.7430515544,722155871,0.0,1.0
2004-10-20 00:00:00,140.49,148.99,139.6,147.94,22722600,3.4940951022,3.705496685,3.4719601129,3.6793823718,906098300,0.0,1.0
2004-10-21 00:00:00,149.38,150.13,141.62,144.13,29149800,3.715196287,3.7338493679,3.5221990773,3.5846247212,1162392694,0.0,1.0
2004-10-22 00:00:00,172.43,180.17,164.08,170.435,73710000,4.2884676381,4.4809674323,4.0807966714,4.238850443,2939298571,0.0,1.0
2004-10-25 00:00:00,187.4,194.43,172.55,176.28,65462800,4.6607831316,4.8356246759,4.291452131,4.3842201197,2610428904,0.0,1.0
2004-10-26 00:00:00,181.8,192.64,180.0,186.449,44569500,4.5215067946,4.7911059897,4.4767394006,4.6371310251,1777276728,0.0,1.0
2004-10-27 00:00:00,185.97,189.52,181.77,182.509,26686200,4.6252179241,4.7135091734,4.5207606714,4.5391401737,1064152890,0.0,1.0
2004-10-28 00:00:00,193.3,194.39,185.6,186.63,29663900,4.8075207008,4.8346298449,4.6160157375,4.6416326352,1182893215,0.0,1.0
2004-10-29 00:00:00,190.64,199.95,190.6,198.87,42282600,4.7413644408,4.9729113509,4.7403696098,4.9460509145,1686083106,0.0,1.0
2004-11-01 00:00:00,196.03,197.67,191.27,193.5,24425300,4.875417915,4.9162059851,4.7570330287,4.8124948557,973996057,0.0,1.0
2004-11-02 00:00:00,194.87,199.25,193.34,198.73,22669900,4.8465678167,4.9555018088,4.8085155318,4.9425690061,903996807,0.0,1.0
2004-11-03 00:00:00,191.67,201.6,190.75,198.19,27749600,4.7669813384,5.0139481287,4.744100226,4.9291387878,1106557585,0.0,1.0
2004-11-04 00:00:00,184.7,190.4,183.35,188.25,28790300,4.5936320405,4.7353954549,4.560056495,4.6819232898,1148057084,0.0,1.0
2004-11-05 00:00:00,169.35,182.3,168.55,182.0,39626500,4.2118656528,4.5339421819,4.1919690332,4.5264809495,1580167071,0.0,1.0
2004-11-08 00:00:00,172.55,175.44,169.4,170.86,22361200,4.291452131,4.3633286692,4.2131091915,4.2494205222,891686924,0.0,1.0
2004-11-09 00:00:00,168.7,175.2,165.27,174.1,22106200,4.1956996494,4.3573596833,4.110392893,4.3300018314,881518411,0.0,1.0
2004-11-10 00:00:00,167.86,172.52,166.33,170.67,21266700,4.1748081988,4.2907060078,4.1367559139,4.244695075,848042069,0.0,1.0
2004-11-11 00:00:00,183.02,183.75,167.57,169.32,29941000,4.5518491395,4.5700048048,4.1675956743,4.2111195295,1193943000,0.0,1.0
2004-11-12 00:00:00,182.0,189.8,177.4,185.23,33458700,4.5264809495,4.7204729902,4.4120753871,4.606813551,1334216647,0.0,1.0
2004-11-15 00:00:00,184.87,188.32,178.75,180.45,23779100,4.5978600722,4.683664244,4.4456509326,4.4879312491,948227847,0.0,1.0
2004-11-16 00:00:00,172.545,179.47,170.83,174.39,41792900,4.2913277771,4.4635578902,4.248674399,4.337214356,1666555572,0.0,1.0
2004-11-17 00:00:00,172.5,177.5,169.0,169.02,36229500,4.2902085923,4.4145624645,4.2031608817,4.2036582972,1444706520,0.0,1.0
2004-11-18 00:00:00,167.54,174.42,165.73,170.4,33225900,4.166849551,4.3379604792,4.1218334493,4.2379799659,1324933393,0.0,1.0
2004-11-19 00:00:00,169.4,169.98,166.52,169.06,17521000,4.2131091915,4.2275342407,4.1414813611,4.2046531282,698676574,0.0,1.0
2004-11-22 00:00:00,165.1,169.5,161.31,168.6,24711600,4.1061648614,4.2155962689,4.0119046262,4.1932125719,985412706,0.0,1.0
2004-11-23 00:00:00,167.52,170.83,166.5,167.915,24801700,4.1663521355,4.248674399,4.1409839456,4.1761760914,989005581,0.0,1.0
